"","PLZ","WOBFS","Region"
"1",6318,1710,2
"2",5212,4100,4
"3",5225,4124,4
"4",5244,4093,4
"5",5445,4066,4
"6",5612,4080,4
"7",5613,4080,4
"8",5405,4021,4
"9",5423,4028,4
"10",5506,4032,4
"11",8962,4023,4
"12",4305,4257,3
"13",8585,4681,4
"14",4800,4289,3
"15",4812,4289,3
"16",4813,4286,3
"17",5053,4284,3
"18",8532,4621,4
"19",8553,4590,4
"20",9325,4431,4
"21",5322,4310,4
"22",5325,4311,4
"23",3927,6292,2
"24",3945,6118,2
"25",3951,6101,2
"26",3907,6009,2
"27",8576,4891,4
"28",9217,4501,4
"29",9223,4471,4
"30",9562,4711,4
"31",5625,4233,4
"32",5630,4236,4
"33",5040,4144,4
"34",5076,4185,4
"35",5082,4169,3
"36",5083,4169,3
"37",5000,4001,4
"38",5034,4012,4
"39",7304,3953,2
"40",7018,3732,2
"41",4057,2701,3
"42",7430,3668,2
"43",7250,3871,2
"44",7153,3572,2
"45",9485,7007,6
"46",3416,951,3
"47",3421,415,3
"48",3423,405,3
"49",3455,957,3
"50",3537,901,3
"51",3004,351,3
"52",3019,351,3
"53",3042,307,3
"54",3045,307,3
"55",3067,359,3
"56",3073,356,3
"57",3088,880,3
"58",3097,355,3
"59",3173,355,3
"60",3177,667,3
"61",3202,663,3
"62",3208,665,3
"63",8841,1301,2
"64",6110,1107,2
"65",6156,1135,2
"66",6264,1139,2
"67",9443,3238,2
"68",9231,3402,2
"69",9240,3408,2
"70",9536,3405,2
"71",7323,3297,2
"72",8877,3295,2
"73",9606,3395,2
"74",9607,3394,2
"75",9633,3372,2
"76",9642,3352,2
"77",8640,3340,2
"78",8717,3312,2
"79",8872,3316,2
"80",9044,3036,2
"81",9411,3035,2
"82",4246,2792,3
"83",6414,1362,2
"84",6416,1374,2
"85",8842,1375,2
"86",8843,1368,2
"87",8757,1630,2
"88",6372,1506,2
"89",6373,1505,2
"90",6072,1406,2
"91",4524,2547,3
"92",4937,344,3
"93",1715,2306,3
"94",1736,2303,3
"95",1737,2300,3
"96",4712,2426,3
"97",4108,2481,3
"98",4421,2478,3
"99",6024,1088,2
"100",6207,1094,2
"101",6285,1030,2
"102",6035,1052,2
"103",6048,1058,2
"104",6404,1056,2
"105",6005,1061,2
"106",6015,1061,2
"107",8857,1348,2
"108",8117,193,4
"109",8123,195,4
"110",8615,198,4
"111",8354,294,4
"112",8182,59,4
"113",8193,55,4
"114",8195,70,4
"115",8303,52,4
"116",8908,5,4
"117",3822,584,2
"118",3855,573,2
"119",6083,783,2
"120",3646,768,2
"121",3702,768,2
"122",3705,768,2
"123",3713,567,2
"124",3714,563,2
"125",3722,567,2
"126",3755,762,2
"127",3612,939,2
"128",3635,943,2
"129",3657,938,2
"130",2557,749,3
"131",3232,496,3
"132",3251,394,3
"133",3256,310,3
"134",8050,261,4
"135",8314,296,4
"136",8322,178,4
"137",8142,248,4
"138",8342,117,4
"139",8345,111,4
"140",8454,2933,4
"141",8455,2938,4
"142",9037,3023,2
"143",8108,84,4
"144",9107,3006,2
"145",8215,2971,4
"146",4410,2829,3
"147",4419,2830,3
"148",4434,2886,3
"149",4051,2701,3
"150",3507,603,3
"151",4116,2477,3
"152",6300,1711,2
"153",6300,1711,2
"154",6313,1704,2
"155",6318,1710,2
"156",6330,1702,2
"157",6330,1702,2
"158",6340,1701,2
"159",6340,1701,2
"160",5445,4066,4
"161",5620,4063,4
"162",8905,4061,4
"163",8964,4075,4
"164",8964,4075,4
"165",8965,4062,4
"166",8967,4081,4
"167",5301,4044,4
"168",5415,4038,4
"169",4303,4252,3
"170",4303,4252,3
"171",4313,4254,3
"172",4322,4255,3
"173",5745,4283,3
"174",9000,3203,2
"175",9320,4401,4
"176",3949,6204,2
"177",8356,4551,4
"178",3900,6002,2
"179",3900,6002,2
"180",3902,6002,2
"181",3902,6002,2
"182",8570,4946,4
"183",8570,4946,4
"184",8570,4946,4
"185",8570,4946,4
"186",8570,4946,4
"187",9213,4486,4
"188",5040,4144,4
"189",5040,4144,4
"190",5708,4132,4
"191",5726,4146,4
"192",5737,4139,4
"193",7000,3901,2
"194",7000,3901,2
"195",3018,351,3
"196",7000,3901,2
"197",7208,3954,2
"198",7240,3882,2
"199",9493,7008,6
"200",9495,7002,6
"201",9498,7006,6
"202",3007,351,3
"203",3114,632,3
"204",8836,1301,2
"205",8844,1301,2
"206",6467,1213,2
"207",6487,1208,2
"208",6182,1010,2
"209",6130,1151,2
"210",6130,1151,2
"211",6153,1145,2
"212",6218,1128,2
"213",9434,3231,2
"214",9443,3238,2
"215",9470,3271,2
"216",9470,3271,2
"217",9470,3271,2
"218",9058,3103,2
"219",9108,3102,2
"220",9000,3203,2
"221",9000,3203,2
"222",9000,3203,2
"223",9200,3443,2
"224",9200,3443,2
"225",9200,3443,2
"226",9200,3443,2
"227",9205,3444,2
"228",7503,3786,2
"229",8898,3292,2
"230",9607,3394,2
"231",9642,3352,2
"232",9642,3352,2
"233",9642,3352,2
"234",8832,1323,4
"235",8834,1321,2
"236",8835,1321,2
"237",6403,1331,2
"238",6403,1331,2
"239",8753,1630,2
"240",6060,1407,2
"241",6072,1406,2
"242",6074,1403,2
"243",6074,1403,2
"244",4468,2492,3
"245",4652,2501,3
"246",4654,2493,3
"247",5013,2495,3
"248",5013,2495,3
"249",5013,2495,3
"250",2540,2546,3
"251",4515,2553,3
"252",4525,2541,3
"253",4922,342,3
"254",4933,340,3
"255",4934,332,3
"256",1716,2299,3
"257",1716,2299,3
"258",1717,2304,3
"259",1734,2307,3
"260",3186,2293,3
"261",3186,2293,3
"262",3253,2461,3
"263",6022,1086,2
"264",6206,1093,2
"265",6206,1093,2
"266",6206,1093,2
"267",6210,1103,2
"268",6212,1089,2
"269",6212,1089,2
"270",6221,1097,2
"271",6020,1024,2
"272",6020,1024,2
"273",6280,1031,2
"274",6280,1031,2
"275",6284,1030,2
"276",6288,1041,2
"277",6003,1061,2
"278",6005,1061,2
"279",6005,1061,2
"280",6005,1061,2
"281",6014,1061,2
"282",6014,1061,2
"283",8856,1347,2
"284",4123,2762,3
"285",4622,2401,3
"286",8600,191,4
"287",8600,191,4
"288",8600,191,4
"289",8604,199,4
"290",8604,199,4
"291",8610,198,4
"292",8610,198,4
"293",8610,198,4
"294",8610,198,4
"295",8617,196,4
"296",8400,230,4
"297",8400,230,4
"298",8400,230,4
"299",8400,230,4
"300",8400,230,4
"301",8400,230,4
"302",8400,230,4
"303",8404,230,4
"304",8409,230,4
"305",8404,230,4
"306",8404,230,4
"307",8404,230,4
"308",8406,230,4
"309",8406,230,4
"310",8406,230,4
"311",8472,227,4
"312",8428,57,4
"313",8910,2,4
"314",8914,1,4
"315",8932,9,4
"316",8932,9,4
"317",3800,593,2
"318",3800,593,2
"319",3803,571,2
"320",3604,942,2
"321",3608,942,2
"322",3612,939,2
"323",3653,934,2
"324",3665,886,3
"325",3250,306,3
"326",3250,306,3
"327",3267,312,3
"328",3267,312,3
"329",3298,391,3
"330",8045,261,4
"331",8003,261,4
"332",8003,261,4
"333",8004,261,4
"334",8004,261,4
"335",8005,261,4
"336",8005,261,4
"337",8006,261,4
"338",8006,261,4
"339",8006,261,4
"340",8008,261,4
"341",8038,261,4
"342",8038,261,4
"343",8045,261,4
"344",8045,261,4
"345",8046,261,4
"346",8048,261,4
"347",8048,261,4
"348",8048,261,4
"349",8050,261,4
"350",8280,4671,4
"351",8050,261,4
"352",8051,261,4
"353",8051,261,4
"354",8051,261,4
"355",8052,261,4
"356",8053,261,4
"357",8053,261,4
"358",4500,2601,3
"359",4500,2601,3
"360",4500,2601,3
"361",8308,296,4
"362",8330,177,4
"363",8340,117,4
"364",8200,2939,4
"365",8605,199,4
"366",8200,2939,4
"367",8200,2939,4
"368",9043,3025,2
"369",9053,3024,2
"370",9053,3024,2
"371",3627,928,2
"372",8107,83,4
"373",8153,97,4
"374",8153,97,4
"375",8154,92,4
"376",8175,100,4
"377",8280,4671,4
"378",8260,2964,4
"379",4133,2831,3
"380",4302,2822,3
"381",4415,2828,3
"382",4460,2846,3
"383",8134,131,4
"384",8134,131,4
"385",8134,131,4
"386",8820,293,4
"387",8820,293,4
"388",8820,293,4
"389",8820,293,4
"390",8700,154,4
"391",8700,154,4
"392",8700,154,4
"393",8703,151,4
"394",4051,2701,3
"395",4052,2701,3
"396",4053,2701,3
"397",4053,2701,3
"398",4055,2701,3
"399",4055,2701,3
"400",4055,2701,3
"401",4057,2701,3
"402",4057,2701,3
"403",4057,2701,3
"404",4058,2701,3
"405",4058,2701,3
"406",1026,5633,1
"407",1176,5435,1
"408",1202,6621,1
"409",1203,6621,1
"410",1205,6621,1
"411",1205,6621,1
"412",1213,6631,1
"413",1217,6630,1
"414",1219,6643,1
"415",1219,6643,1
"416",1246,6619,1
"417",1290,6644,1
"418",2908,6792,1
"419",2925,6807,1
"420",1076,5806,1
"421",1078,5805,1
"422",1610,5805,1
"423",1610,5805,1
"424",1276,5719,1
"425",1008,5589,1
"426",1024,5635,1
"427",1024,5635,1
"428",1966,6082,1
"429",1660,5841,1
"430",2088,6452,1
"431",1950,6266,1
"432",2300,6421,1
"433",2013,6416,1
"434",1003,5586,1
"435",1004,5586,1
"436",1066,5584,1
"437",1400,5938,1
"438",1400,5938,1
"439",1400,5938,1
"440",1584,5464,1
"441",1630,2125,1
"442",1630,2125,1
"443",1063,5693,1
"444",1303,5496,1
"445",8890,3292,2
"446",1913,6140,1
"447",2520,723,1
"448",2603,450,1
"449",2607,433,1
"450",2610,443,1
"451",2720,446,1
"452",2503,371,3
"453",2503,371,3
"454",2503,371,3
"455",2513,756,3
"456",2542,392,3
"457",2542,392,3
"458",2543,387,3
"459",2552,744,3
"460",2563,739,3
"461",2563,739,3
"462",2563,739,3
"463",1695,2236,1
"464",1720,2183,1
"465",1745,2234,1
"466",1752,2228,1
"467",1752,2228,1
"468",1752,2228,1
"469",1752,2228,1
"470",1756,2234,1
"471",1782,2175,1
"472",1785,2257,3
"473",1786,2284,3
"474",3280,2275,3
"475",3284,2258,3
"476",3510,612,3
"477",8610,198,4
"478",5235,4112,4
"479",5242,4092,4
"480",5242,4092,4
"481",5242,4092,4
"482",5408,4026,4
"483",5430,4045,4
"484",5430,4045,4
"485",5436,4048,4
"486",8280,4671,4
"487",8280,4671,4
"488",4800,4289,3
"489",4852,4282,3
"490",8512,4611,4
"491",8500,4566,4
"492",5706,4192,4
"493",5018,4005,4
"494",7013,3722,2
"495",3422,412,3
"496",3423,405,3
"497",3426,401,3
"498",3427,552,3
"499",3550,902,3
"500",3011,351,3
"501",3014,351,3
"502",3027,351,3
"503",3027,351,3
"504",3052,361,3
"505",3067,359,3
"506",3075,627,3
"507",3110,616,3
"508",3173,355,3
"509",3177,667,3
"510",3202,663,3
"511",3507,603,3
"512",3629,611,3
"513",9230,3402,2
"514",9243,3405,2
"515",9244,3408,2
"516",9244,3408,2
"517",9524,3426,2
"518",8718,3315,2
"519",9410,3032,2
"520",6432,1372,2
"521",6374,1502,2
"522",4714,2421,3
"523",6010,1059,2
"524",6010,1059,2
"525",6010,1059,2
"526",4123,2762,3
"527",4144,2763,3
"528",4144,2763,3
"529",4147,2761,3
"530",4153,2773,3
"531",4153,2773,3
"532",4613,2582,3
"533",8180,53,4
"534",8180,53,4
"535",8193,55,4
"536",8304,69,4
"537",8304,69,4
"538",8305,54,4
"539",3765,766,2
"540",8953,243,4
"541",8953,243,4
"542",1304,5477,1
"543",1219,6643,1
"544",1223,6617,1
"545",1253,6642,1
"546",2900,6800,1
"547",1263,5714,1
"548",1025,5648,1
"549",1898,6155,1
"550",1814,5889,1
"551",1833,5886,1
"552",1957,6021,1
"553",2063,6487,1
"554",3960,6248,1
"555",2416,6436,1
"556",2300,6421,1
"557",2300,6421,1
"558",2015,6404,1
"559",2027,6417,1
"560",1005,5586,1
"561",1066,5584,1
"562",1342,5871,1
"563",1400,5938,1
"564",1407,5913,1
"565",1439,5760,1
"566",1443,5905,1
"567",1853,5415,1
"568",1670,2102,1
"569",5102,4206,4
"570",1213,6631,1
"571",4123,2762,3
"572",3063,362,3
"573",8173,88,4
"574",8706,156,4
"575",7310,3291,2
"576",6512,5002,5
"577",4512,2542,3
"578",3132,879,3
"579",7016,3734,2
"580",7503,3786,2
"581",4143,2473,3
"582",5412,4029,4
"583",6055,1401,2
"584",3960,6248,1
"585",3662,883,3
"586",5417,4044,4
"587",1904,6219,1
"588",1897,6154,1
"589",5014,2576,3
"590",8428,57,4
"591",2923,6807,1
"592",6003,1061,2
"593",8462,38,4
"594",8546,4571,4
"595",5443,4035,4
"596",4950,954,3
"597",6929,5187,5
"598",8047,261,4
"599",1003,5586,1
"600",8606,194,4
"601",3930,6297,2
"602",1436,5904,1
"603",4612,2586,3
"604",7310,3291,2
"605",9437,3253,2
"606",5722,4006,4
"607",1225,6613,1
"608",8400,230,4
"609",8416,28,4
"610",6343,1707,2
"611",6014,1061,2
"612",8915,4,4
"613",6528,5002,5
"614",8180,53,4
"615",1261,5731,1
"616",4144,2763,3
"617",1509,5692,1
"618",3008,351,3
"619",5620,4063,4
"620",4242,2787,3
"621",2300,6421,1
"622",3413,407,3
"623",2350,6757,1
"624",3175,2309,3
"625",8212,2937,4
"626",8640,3340,2
"627",8046,261,4
"628",9490,7001,6
"629",8050,261,4
"630",3960,6248,1
"631",8193,55,4
"632",4435,2891,3
"633",8707,159,4
"634",5452,4037,4
"635",8926,6,4
"636",8604,199,4
"637",3322,551,3
"638",9500,3427,2
"639",3671,610,3
"640",8052,261,4
"641",1044,5522,1
"642",8964,4075,4
"643",8207,2939,4
"644",2505,371,3
"645",6440,1364,2
"646",6963,5192,5
"647",3612,939,2
"648",8038,261,4
"649",6423,1372,2
"650",6864,5254,5
"651",4107,2768,3
"652",5324,4307,4
"653",4922,342,3
"654",4462,2857,3
"655",8536,4821,4
"656",6804,5238,5
"657",7402,3721,2
"658",1024,5635,1
"659",9553,4716,4
"660",8832,1323,4
"661",8500,4566,4
"662",1273,5702,1
"663",1921,6137,1
"664",8951,251,4
"665",8932,9,4
"666",4058,2701,3
"667",3604,942,2
"668",8005,261,4
"669",4112,2471,3
"670",1991,6266,1
"671",3097,355,3
"672",4563,2519,3
"673",6043,1051,2
"674",9450,3251,2
"675",8200,2939,4
"676",1248,6625,1
"677",4057,2701,3
"678",8212,2937,4
"679",3427,552,3
"680",1482,2011,1
"681",1816,5886,1
"682",3436,905,3
"683",5420,4049,4
"684",1854,5407,1
"685",9514,4791,4
"686",4704,981,3
"687",8320,172,4
"688",8045,261,4
"689",6010,1059,2
"690",3472,424,3
"691",2735,717,1
"692",8841,1301,2
"693",5432,4034,4
"694",2503,371,3
"695",3013,351,3
"696",8887,3293,2
"697",6004,1061,2
"698",4852,4282,3
"699",5443,4035,4
"700",8408,230,4
"701",6403,1331,2
"702",9542,4746,4
"703",8500,4566,4
"704",6600,5113,5
"705",7324,3297,2
"706",6965,5192,5
"707",1009,5590,1
"708",9000,3203,2
"709",9621,3375,2
"710",1740,2211,1
"711",9526,3423,2
"712",9410,3032,2
"713",1926,6133,1
"714",1800,5890,1
"715",1920,6136,1
"716",4458,2885,3
"717",6110,1107,2
"718",9230,3402,2
"719",9514,4791,4
"720",3822,584,2
"721",5400,4021,4
"722",8268,4851,4
"723",4852,4282,3
"724",8253,4545,4
"725",8552,4561,4
"726",3920,6300,2
"727",5630,4236,4
"728",5103,4203,4
"729",5075,4185,3
"730",7015,3733,2
"731",7018,3732,2
"732",3537,901,3
"733",3027,351,3
"734",3088,880,3
"735",3148,855,3
"736",9245,3424,2
"737",9658,3359,2
"738",6052,1507,2
"739",4528,2534,3
"740",4900,329,3
"741",4710,2422,3
"742",4104,2771,3
"743",4104,2771,3
"744",4142,2769,3
"745",4142,2769,3
"746",4148,2772,3
"747",8305,54,4
"748",3713,567,2
"749",3714,563,2
"750",8454,2933,4
"751",9100,3001,2
"752",9100,3001,2
"753",9107,3006,2
"754",2800,6711,1
